Input Size,Add Time (s),Avg Search Time (s),Avg Update Time (s),Traversal Time (s),Avg Delete Time (s),Memory Usage (items)
100,0.0013377666473388672,5.745887756347657e-07,4.61578369140625e-06,3.1948089599609375e-05,0.00015137910842895507,0
500,0.03647303581237793,6.365776062011719e-07,2.3627281188964844e-06,9.417533874511719e-05,8.872509002685547e-05,400
1000,0.11501598358154297,8.7738037109375e-07,3.230571746826172e-06,0.0001838207244873047,0.00021532297134399414,900
5000,2.0798840522766113,8.225440979003907e-07,2.8634071350097656e-06,0.0010559558868408203,0.0013113832473754883,4900
10000,8.939568996429443,8.463859558105468e-07,4.749298095703125e-06,0.004015684127807617,0.0015804433822631835,9900
